coh_true,coh_first,coh_best_const,best_const_pc,frac_F,voiced_cov,hist,slot_acc,file,method,melody,prompt
0.3755274261603376,0.7341772151898734,0.7341772151898734,5,0.808695652173913,0.7873754152823921,"[0.093, 0.009, 0.0, 0.0, 0.009, 0.809, 0.014, 0.067, 0.0, 0.0, 0.0, 0.0]","[1.0, 0.0, 0.0, 0.9411764705882353, 0.47368421052631576, 0.0, 1.0]",prompt4_alternating_probe_low.wav,probe_low,alternating,4
0.4714828897338403,0.8365019011406845,0.8365019011406845,5,0.8815426997245179,0.8737541528239202,"[0.047, 0.006, 0.0, 0.0, 0.0, 0.882, 0.003, 0.063, 0.0, 0.0, 0.0, 0.0]","[1.0, 0.0, 0.0, 0.9736842105263158, 0.4857142857142857, 0.0, 1.0]",prompt4_alternating_probe_mid.wav,probe_mid,alternating,4
0.42857142857142855,0.7880184331797235,0.7880184331797235,5,0.8366013071895425,0.7209302325581395,"[0.157, 0.003, 0.0, 0.0, 0.003, 0.837, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.0, 0.0, 0.0, 0.975609756097561, 0.6206896551724138, 0.0, 0.3157894736842105]",prompt4_alternating_probe_strong.wav,probe_strong,alternating,4
0.19172932330827067,0.462406015037594,0.462406015037594,5,0.4964788732394366,0.7732558139534884,"[0.141, 0.007, 0.011, 0.004, 0.0, 0.496, 0.025, 0.162, 0.004, 0.127, 0.004, 0.021]","[0.6388888888888888, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.875]",prompt4_ascending_baseline.wav,baseline,ascending,4
0.3042071197411003,0.7702265372168284,0.7702265372168284,5,0.8074866310160428,0.8982558139534884,"[0.078, 0.011, 0.0, 0.0, 0.016, 0.807, 0.029, 0.059, 0.0, 0.0, 0.0, 0.0]","[1.0, 0.0, 0.0, 0.0, 0.5428571428571428, 0.09090909090909091, 0.0, 0.9]",prompt4_ascending_combined.wav,combined,ascending,4
0.34893617021276596,0.5617021276595745,0.5617021276595745,5,0.6153846153846154,0.6831395348837209,"[0.154, 0.011, 0.07, 0.0, 0.004, 0.615, 0.04, 0.095, 0.011, 0.0, 0.0, 0.0]","[0.7307692307692307, 0.029411764705882353, 0.0, 0.0, 0.7272727272727273, 0.0, 0.0, 0.95]",prompt4_ascending_itc.wav,itc,ascending,4
0.2819672131147541,0.8688524590163934,0.8688524590163934,5,0.8891891891891892,0.8866279069767442,"[0.032, 0.0, 0.003, 0.008, 0.005, 0.889, 0.003, 0.059, 0.0, 0.0, 0.0, 0.0]","[1.0, 0.0, 0.0, 0.0, 0.3870967741935484, 0.0, 0.07142857142857142, 1.0]",prompt4_ascending_probe_high.wav,probe_high,ascending,4
0.29605263157894735,0.7105263157894737,0.7105263157894737,5,0.7640750670241286,0.8837209302325582,"[0.091, 0.003, 0.003, 0.003, 0.0, 0.764, 0.016, 0.064, 0.0, 0.0, 0.056, 0.0]","[1.0, 0.0, 0.0, 0.0, 0.4722222222222222, 0.0, 0.030303030303030304, 0.9]",prompt4_ascending_probe_low.wav,probe_low,ascending,4
0.31679389312977096,0.8053435114503816,0.8053435114503816,5,0.8373493975903614,0.7616279069767442,"[0.039, 0.003, 0.0, 0.0, 0.003, 0.837, 0.048, 0.069, 0.0, 0.0, 0.0, 0.0]","[1.0, 0.0, 0.0, 0.0, 0.38235294117647056, 0.0, 0.0, 0.8717948717948718]",prompt4_ascending_probe_mid.wav,probe_mid,ascending,4
0.22929936305732485,0.9076433121019108,0.9076433121019108,5,0.9228723404255319,0.9127906976744186,"[0.0, 0.0, 0.0, 0.003, 0.008, 0.923, 0.005, 0.061, 0.0, 0.0, 0.0, 0.0]","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.02564102564102564, 1.0]",prompt4_ascending_probe_strong.wav,probe_strong,ascending,4
